student_id,gender,leader_flag,support_flag,score,piano_flag
64,1,0,0,222,0
66,1,0,0,314,0
72,1,0,0,326,0
86,1,1,0,344,1
91,1,0,0,351,0
93,1,0,0,352,0
94,1,0,0,316,0
98,1,0,0,352,0
99,1,0,0,409,0
202,1,0,0,225,0
203,1,0,0,176,0
205,0,0,0,329,0
210,1,0,0,363,0
219,1,0,0,359,0
221,1,0,0,384,0
223,1,0,0,270,0
230,0,0,0,325,0
238,0,0,0,252,0
241,0,0,0,344,0
242,0,0,0,351,0
249,0,0,0,240,0
250,1,0,0,306,0
251,0,0,0,235,0
252,0,0,0,343,0
256,1,0,0,263,0
260,0,0,0,349,0
266,1,0,0,258,0
270,0,0,0,330,0
273,0,0,0,261,0
274,1,0,0,330,0
276,0,0,0,280,0
281,0,0,0,343,0
286,0,0,0,344,0
295,0,0,0,326,0
296,0,0,0,238,0
298,0,0,0,417,0
307,0,0,0,322,0
313,0,0,0,223,0
314,0,0,0,244,0
318,0,0,0,256,0
