student_id,gender,leader_flag,support_flag,score,piano_flag
1,0,0,0,335,1
10,0,0,0,357,0
11,1,0,0,252,0
12,0,0,0,285,0
100,0,0,0,336,0
101,1,0,0,224,0
102,1,0,0,369,0
103,1,0,0,233,0
104,0,0,0,209,0
105,1,0,0,322,1
106,0,0,0,355,0
107,0,0,0,346,0
108,1,0,0,390,0
109,0,0,0,102,0
110,1,0,0,239,0
111,1,0,0,335,0
112,1,0,0,320,0
113,0,0,0,269,0
114,0,0,0,277,0
115,1,0,0,287,0
116,1,0,0,231,0
117,0,0,0,390,0
118,0,0,0,301,1
119,0,0,0,329,0
120,1,0,0,246,1
121,1,1,0,280,0
122,1,0,0,355,0
123,0,0,0,128,0
124,0,0,0,214,0
125,0,0,0,267,0
126,1,0,0,373,0
127,0,0,0,335,0
128,1,0,0,175,0
129,1,0,0,311,0
130,1,0,0,349,0
135,0,0,0,272,0
240,1,0,0,375,0
312,1,0,0,331,1
